project_gid,project_name,archived,created_at,start_on,due_on,owner,team,n_tasks,first_completed,last_completed,span_days_completed,span_days_start_due,cf::Progress,cf::Weekly Meeting Status,cf::Project Point Person,cf::Priority,cf::End Date,cf::Actual time rollup,cf::Project Type,cf::Started Range,cf::Post-Project Status,cf::Type of Project,cf::Credit Bearing?,cf::Faculty Members,cf::Estimated T-Shirt Size,cf::Actual T-Shirt Size,cf::Budget,cf::Project Members,cf::Learning Design Rank,cf::Media Ranking,cf::PM Ranking,cf::Academic Department,cf::Working Group Project Status,cf::ODL Project Status,cf::Launch Date,cf::Modality,cf::Platform,cf::XR Component,cf::External Partner(s),cf::Intended Audience,cf::Project Funding Source,cf::Future Iteration,cf::Current Phase,cf::Impact Tracker Status,cf::Estimated time,cf::Stage,cf::Academic Department / Institute,cf::# of Learning Design Responses,cf::# of Media Responses,cf::# of PM Responses,cf::Actual costs (total),cf::Actual time (total),cf::Estimated costs (total),cf::Estimated time (total),cf::NDL Project Status,cf::AMP | Proj. Date to Production,cf::AMP | Actual Date to Production,cf::AMP | Proj. Date to Printer,cf::AMP | Actual Date to Printer,cf::AMP | Proj. Delivery Date,cf::AMP | Actual Delivery Date,cf::Budgeted time,cf::Hi,cf::Custom Start Date
1213596603291607,FA27 | Christmyer \\ Becoming Women of the Way,False,2026-03-09T19:43:21.294Z,,,Katie Q Smith,AMP | Editorial,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213746954039888,Faculty AI Incentives,False,2026-03-19T13:23:01.494Z,,,Michael Lerma,NDL Leadership,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project Initiated - LAITL/AI Working Group,,,,,,,,,
1214783923511436,Sprint - Methods Applied: Proposal Scaffolded Support (MAPPS),False,2026-05-13T20:08:21.656Z,2026-08-31,2026-08-31,Michael Lerma,ODL Team,31,,,,0,,,,,,,,,,,,,M,,,"Yi Lu, Annie Conaghan",,,,,,In Progress,,,,,,,,,Pre-Production,,,,,,,,0.00,51h 30m,0.00,175h 00m,,,,,,,,,,
1214783923511442,Sprint - Free-Body Diagram Visualization and Mastery,False,2026-05-13T20:16:18.429Z,,2026-08-31,Michael Lerma,,31,2026-06-05T15:25:05.913000+00:00,2026-06-05T15:25:58.009000+00:00,0,,,,,,,8h 30m,,,,,,,M,,,,,,,,,In Progress,,,,,,,,,Pre-Production,,,,,,,,0.00,43h 00m,0.00,134h 00m,,,,,,,,,,
1214783923511446,Sprint - Unlocking Inaccessible Korean Heritage,False,2026-05-13T20:17:39.765Z,2026-08-31,2026-08-31,Michael Lerma,ODL Team,31,,,,0,,,,,,,,,,,,,M,,,,,,,,,In Progress,,,,,,,,,Production,Outdated,,,,,,,0.00,248h 30m,0.00,127h 00m,,,,,,,,0h 00m,,
1214795652576790,Maximizing Mendoza,False,2026-05-13T19:46:25.811Z,,,Annie Conaghan,ODL Team,36,2026-05-13T19:45:12.130000+00:00,2026-05-13T19:45:19.500000+00:00,0,,,,,,,6h 30m,,,,,,,XL,,,,,,,,,In Progress,,,,,,,,,Production,Outdated,,,,,,,0.00,47h 00m,0.00,375h 00m,Project Initiated - ODL,,,,,,,,,
1215176396318246,Sprint - Lost in Transliteration,False,2026-05-27T13:46:10.703Z,2026-08-31,2026-08-31,Michael Lerma,,31,,,,0,,,,,,,,,,,,,,,,"Yi Lu, Annie Conaghan",,,,,,In Progress,,,,,,,,,Pre-Production,,,,,,,,0.00,50h 45m,0.00,90h 00m,,,,,,,,,,
1215180204869597,Post Project Evaluation,False,2026-05-28T12:57:38.616Z,,,Michael Lerma,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215180204869602,Asana Clean Up / Implementation,False,2026-05-28T12:57:54.303Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215180204869607,Capacity Planning,False,2026-05-28T12:58:24.593Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215183480745603,LAITL ,False,2026-05-27T18:14:49.350Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215186457850668,Sprint Consultations,False,2026-05-27T19:41:45.801Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215186457850674,Proposals and Conferences Prep,False,2026-05-27T19:42:10.318Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215186457850680,z-Professional Development - AI Tools,False,2026-05-27T19:42:56.296Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215186457850686,z-Professional Development - Personal,False,2026-05-27T19:47:46.068Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215186457850692,Intern/Student Worker Supervising,False,2026-05-27T19:52:34.402Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215186457850727,z-Out of Office / Vacation,False,2026-05-27T20:34:29.444Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215186457850752,AI Academy Fall 2026,False,2026-05-27T20:51:22.728Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215342625311441,Calc II Remodel,False,2026-06-02T15:39:35.648Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215383370815292,FA27 | Tooke \\ Grit for the Kingdom,False,2026-06-03T19:01:09.554Z,2026-06-03,2027-06-11,Katie Q Smith,,157,,,,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215642613575503,EDUCAUSE Lab,False,2026-06-11T16:54:51.184Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215646180453827,CAD 2026 - Stephen Blackburn Videos,False,2026-06-11T18:59:20.483Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outdated,,,,,,,,,,,,,,,,,,,,
1215664894792864,Time Off,False,2026-06-12T16:02:44.394Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215664894792901,ASCEND Program ,False,2026-06-12T17:12:41.895Z,,,Michael Lerma,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215987458853792,Flipped Classroom #1,False,2026-06-23T18:48:35.348Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215987566327904,Flipped Classroom #2,False,2026-06-23T18:50:12.145Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215993168366996,Brian - Course Trailer ,False,2026-06-24T15:20:03.034Z,,,Michael Lerma,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215994490410552,Flipped Classroom #3,False,2026-06-24T15:10:48.324Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216713304901433,Job Fair,False,2026-07-20T13:30:43.586Z,,,Michael Lerma,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216740509061105,I CAN HELP - Faculty Consultation,False,2026-07-21T12:59:03.368Z,,,Michael Lerma,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216740509061115,CHEM 10171 FA26 intro video,False,2026-07-21T15:48:07.807Z,,,Michael Lerma,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216741356371289,Fall Workshops,False,2026-07-21T12:55:04.657Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204789220328740,College BouND,True,2023-06-08T18:58:57.317Z,,,Sonia Howell,ODL Team,3,2023-06-08T18:59:11.377000+00:00,2023-06-08T18:59:11.870000+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204818761552639,DX Course Design,True,2023-06-13T18:02:59.925Z,,,Sonia Howell,ODL Team,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204843864198221,Inclusivity Modules,True,2023-06-16T15:52:11.019Z,,,Sonia Howell,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205095744696654,ACE Ascent Phase II,True,2023-07-19T19:38:38.973Z,,,Salonee Seecharan,ODL Team,32,2023-07-19T19:39:09.228000+00:00,2024-08-16T14:35:32.176000+00:00,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205980079388145,Teaching Everyone,True,2023-11-17T18:12:13.531Z,,,Salonee Seecharan,ODL Team,36,2023-12-19T18:19:50.885000+00:00,2024-08-09T13:30:45.800000+00:00,234,,Launch,Complete!,Yi Lu,,,,Signature Project,June 2024 - Dec 2024,Report Created,Inter-organizational Project,No,Horane Holgate,M,,,"Matthew Simmons, Yi Lu",4.0,4.3,5.0,ND Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206006474289122,Creative Asset Feedback & Approval,True,2023-11-21T22:06:18.875Z,,,Sonia Howell,ODL Team,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206363761761978,Carbon Neutral,True,2024-01-16T17:45:53.166Z,,2024-08-23,KC Frye,ODL Team,37,2024-02-08T14:07:41.745000+00:00,2024-04-25T15:26:06.810000+00:00,77,,Evaluation,Evaluation Sent to Faculty,"KC Frye, Salonee Seecharan",,,,XR Projects,June 2024 - Dec 2024,Survey Sent,"XR Project (VR, AR, MR)",Yes,,M,,,"KC Frye, Michael Lerma",,,,Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207472349552365,Sprint: Parent Empowerment (Boothby),True,2024-06-03T15:33:47.652Z,2024-10-15,2024-10-15,Michael Lerma,Completed / Archived,14,2024-06-03T15:33:50.425000+00:00,2024-11-06T21:11:15.129000+00:00,156,0,Evaluation,Evaluation Sent to Faculty,Colin Gallagher,,,,Summer Sprint,June 2024 - Dec 2024,Report Created,Media Creation,No,,S,M,,"Michael Lerma, Yi Lu, Colin Gallagher",5.0,5.0,5.0,Institute for Educational Initiatives (IEI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207472351598359,Sprint: Data Visual Insights(Erlacher),True,2024-06-03T16:51:15.976Z,,2024-11-22,Michael Lerma,Completed / Archived,19,2024-06-03T16:51:19.520000+00:00,2025-01-08T20:28:13.584000+00:00,219,,Post-Production,In Progress,"Matthew Simmons, Yi Lu",,2024-11-22T00:00:00.000Z,,Summer Sprint,June 2024 - Dec 2024,Report Created,Course Redesign / Refresh,Yes,,S,M,,"Michael Lerma, Matthew Simmons, Yi Lu",5.0,5.0,5.0,Mendoza,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207473416887619,Sprint: Molecular Neuroscience (Branco),True,2024-06-03T16:57:23.977Z,,2024-11-27,Michael Lerma,Completed / Archived,29,2024-06-03T16:57:26.699000+00:00,2024-12-02T17:17:56.311000+00:00,182,,Post-Production,In Progress,"Matthew Simmons, Yi Lu",,2024-11-27T00:00:00.000Z,4h 31m,Summer Sprint,June 2024 - Dec 2024,Retrospective complete,Course Redesign / Refresh,Yes,Rachel Branco,S,M,,"Michael Lerma, Brianna Stines, Matthew Simmons",,,,Science,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207678003764211,Tim Hubbard XR Development (Summer 2024),True,2024-06-27T14:27:05.241Z,,,Michael Takami,Completed / Archived,17,2024-07-02T14:54:08.231000+00:00,2024-08-12T13:07:49.149000+00:00,41,,Evaluation,Evaluation Sent to Faculty,Michael Takami,,,,XR Projects,June 2024 - Dec 2024,Survey Sent,"XR Project (VR, AR, MR)",Yes,,S,S,,Michael Takami,,,,Mendoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207760971753624,Program for Inclusive Education (PIE) Videos,True,2024-07-10T13:45:32.681Z,2024-11-15,2024-11-15,Michael Lerma,Completed / Archived,45,2024-07-10T13:50:32.425000+00:00,2024-10-23T13:41:36.860000+00:00,105,0,Launch,Complete!,Michael Lerma,,,7h 30m,Media Only,June 2024 - Dec 2024,Survey Sent,Media Creation,Yes,,XS,XS,,"John Corba, Michael Lerma",,,,ACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207760971753720,NDIAS Teaching Fellows - Global Catholicism,True,2024-07-11T01:42:11.952Z,,,Michael Lerma,ODL Team,1,2025-02-03T14:28:43.527000+00:00,2025-02-03T14:28:43.527000+00:00,0,,Launch,Complete!,,,,,Design + Media Project,June 2024 - Dec 2024,No report produced,Media Creation,No,,,,,,,,,Institute for Advanced Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207760971753765,XR Spanish Escape Room,True,2024-07-11T01:55:44.554Z,2024-11-22,2025-06-27,Michael Lerma,ODL Team,21,2024-07-15T14:07:20.594000+00:00,2024-12-09T05:33:19.504000+00:00,147,217,Production,In Progress,"Sophia (Soap) Zhang, KC Frye, Yi Lu",,2024-11-22T00:00:00.000Z,1h 00m,XR Projects,June 2024 - Dec 2024,,"XR Project (VR, AR, MR)",Yes,,S,M,,"Michael Lerma, KC Frye",,,,Arts and Letters,,Complete,,,,,,,,,,,,,Arts & Letters,,,,,,,,,,,,,,,,,
1207817115500015,EIH Lab Video Series ,True,2024-07-15T19:55:49.170Z,,,KC Frye,ODL Team,60,2024-07-25T02:44:18.792000+00:00,2024-10-25T12:05:38.802000+00:00,92,,Production,In Progress,John Corba,,,2d 17h,Media Only,June 2024 - Dec 2024,,,,,,,,John Corba,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207817115500019,Equity XR ,True,2024-07-15T19:56:47.641Z,,2024-11-15,Michael Lerma,ODL Team,13,2024-10-07T14:01:32.702000+00:00,2025-04-02T16:44:01.886000+00:00,177,,Post-Production,In Progress,"KC Frye, Matthew Simmons",,2024-11-15T00:00:00.000Z,6h 00m,XR Projects,June 2024 - Dec 2024,,"XR Project (VR, AR, MR)",No,"Horane, Brent",M,,,"KC Frye, Matthew Simmons",,,,ND Learning,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207817115500023,Innovation and Design Thinking XR,True,2024-07-15T19:57:29.516Z,,,KC Frye,ODL Team,12,2024-08-14T23:21:26.008000+00:00,2024-10-07T17:38:34+00:00,54,,Evaluation,Evaluation Sent to Faculty,,,,,XR Projects,June 2024 - Dec 2024,Survey Sent,"XR Project (VR, AR, MR)",No,,S,S,,"KC Frye, Michael Lerma",,,,Mendoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207823530772159,AR Math Visualizer (Summer Sprint),True,2024-07-16T13:33:54.542Z,,,Sophia (Soap) Zhang,ODL Team,2,2024-07-31T17:59:27.920000+00:00,2024-11-30T21:21:23.461000+00:00,122,,Launch,Complete!,Sophia (Soap) Zhang,,,,XR Projects,June 2024 - Dec 2024,No report produced,"XR Project (VR, AR, MR)",No,Brian Mulholland,S,M,,Michael Lerma,,,,Math,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207907957836519,Spanish Simulation (Canvas Version),True,2024-07-26T15:35:59.056Z,2024-07-26,2024-11-22,Yi Lu,Completed / Archived,5,2024-08-02T15:42:34.399000+00:00,2024-11-22T15:00:49.691000+00:00,112,119,Post-Production,In Progress,"Yi Lu, Kuangchen Hsu",,2024-11-22T00:00:00.000Z,,XR Projects,June 2024 - Dec 2024,Retrospective complete,"XR Project (VR, AR, MR)",No,,S,M,,"Michael Lerma, Yi Lu",,,,Arts and Letters,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207984230724068,Summer Online 2025,True,2024-08-06T00:32:09.787Z,,2025-09-30,Michael Lerma,ODL Team,20,2025-02-04T13:51:53.509000+00:00,2025-03-14T12:46:58.185000+00:00,38,,Analysis,In Progress,"Brianna Stines, Yi Lu, Kuangchen Hsu",,,1h 30m,Signature Project,June 2024 - Dec 2024,,Special Project / Internal NDL Project,Yes,,Unique,,,"Brianna Stines, Yi Lu, Lawrence Greenspun, Kuangchen Hsu",,,,ND Learning,,Complete,,,,,,,,,,,,,ND Learning,,,,,,,,,,,,,,,,,
1208014741125322,MSAN,True,2024-08-09T20:29:53.092Z,2024-07-18,2025-04-11,Michael Lerma,ODL Team,60,2024-08-09T21:00:52.095000+00:00,2025-08-18T20:24:29.083000+00:00,374,267,Production,In Progress,"Kuangchen Hsu, Kevin DeCloedt",,2025-01-31T00:00:00.000Z,8h 30m,Signature Project,June 2024 - Dec 2024,,New Course Design,No,"Jennifer Lefever, Donna Armentrout",L,L,,"Michael Lerma, Kuangchen Hsu, Kevin DeCloedt",,,,MSAN,,Complete,,,,,,,,,,,,,MSAN,,,,,,,,,,,,,,,,,
1208031565604539,ACE Ascent Phase IV,True,2024-08-12T21:00:18.896Z,2024-07-24,2025-01-30,Michael Lerma,Completed / Archived,44,2024-08-15T19:05:57.271000+00:00,2025-02-10T15:18:04.464000+00:00,179,190,Post-Production,In Progress,"Brianna Stines, Matthew Simmons",,2024-12-13T00:00:00.000Z,7h 05m,Signature Project,June 2024 - Dec 2024,Retrospective complete,New Course Design,Yes,,XL,,,"Michael Lerma, Brianna Stines, Matthew Simmons, Colin Gallagher",,,,ACE,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208255134984932,The Qur’an and the Bible (Gabriel Reynolds),True,2024-09-09T02:07:21.120Z,,2025-01-31,Michael Lerma,ODL Team,44,2024-10-14T01:03:55.089000+00:00,2025-06-29T18:32:34.921000+00:00,258,,Post-Production,In Progress,"Brianna Stines, Kevin DeCloedt",,2024-12-06T00:00:00.000Z,3d 3h,Design + Media Project,June 2024 - Dec 2024,,Course Redesign / Refresh,Yes,Gabriel Reynolds,M,M,,"Yi Lu, Lawrence Greenspun",,,,Theology,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208255134985014,AI R&D Project (Online Pedagogy used as the baseline),True,2024-09-09T02:13:11.048Z,2024-12-20,2024-12-20,Michael Lerma,ODL Team,6,2024-10-10T18:49:03.964000+00:00,2025-01-08T20:29:54.033000+00:00,90,0,Design,In Progress,"Brianna Stines, Yi Lu, KC Frye, Sonia Howell",,2024-12-20T00:00:00.000Z,,Design + Media Project,June 2024 - Dec 2024,No report produced,,Yes,Brian Mulholland,S,M,,,,,,ND Learning,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208255134985069,Travel Safety 101,True,2024-09-09T14:53:35.313Z,2024-12-31,2025-03-12,Michael Lerma,ODL Team,13,2024-11-05T17:45:00.782000+00:00,2025-03-05T19:41:02.463000+00:00,120,71,Analysis,In Progress,Brianna Stines,,2025-01-31T00:00:00.000Z,15h 45m,Design + Media Project,June 2024 - Dec 2024,,Course Redesign / Refresh,No,Sarah Sakaguchi,M,M,,"Michael Lerma, Brianna Stines, Yi Lu",,,,Global Travel,,Complete,,,,,,,,,,,,,Global Travel,,,,,,,,,,,,,,,,,
1208335647365608,MSAN II,True,2024-09-18T01:17:17.640Z,,2025-08-27,Michael Lerma,ODL Team,40,2024-10-25T12:41:21.984000+00:00,2025-08-15T15:03:41.167000+00:00,294,,Design,In Progress,"Kuangchen Hsu, Kevin DeCloedt",,2025-07-31T00:00:00.000Z,5d 18h,Signature Project,June 2024 - Dec 2024,,New Course Design,No,"Kristen Collet-Schmidt, Jessica McManus Warnell",L,L,,"Michael Lerma, Kuangchen Hsu, Kevin DeCloedt",,,,MSAN,,Complete,,,,,,,,,,,,,MSAN,,,,,,,,,,,,,,,,,
1208345374594360,Consultations - Nathaniel,True,2024-09-20T13:08:04.541Z,,2024-07-25,Michael Lerma,Completed / Archived,2,2024-12-02T19:59:19.563000+00:00,2024-12-02T19:59:20.860000+00:00,0,,Evaluation,Evaluation Sent to Faculty,"Kuangchen Hsu, Yi Lu",,,,Consultation,June 2024 - Dec 2024,Survey Sent,Consultation,Yes,Nathaniel Myers,XS,XS,,"Michael Lerma, Kuangchen Hsu, Brianna Stines",,,,Writing Faculty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, Maybe",
1208345374594366,AI Video Series - John,True,2024-09-20T13:09:55.921Z,,,Michael Lerma,ODL Team,1,2025-02-03T14:29:05.191000+00:00,2025-02-03T14:29:05.191000+00:00,0,,Evaluation,Evaluation Sent to Faculty,,,,,Media Only,June 2024 - Dec 2024,No report produced,Media Creation,No,John Behrens,XS,XS,,,,,,ND Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208345374594371,AI Video Series - Nathaniel,True,2024-09-20T13:10:38.582Z,2024-07-17,2024-08-20,Michael Lerma,Completed / Archived,10,2024-12-02T20:09:00.646000+00:00,2024-12-02T20:09:07.922000+00:00,0,34,Evaluation,Evaluation Sent to Faculty,Kevin DeCloedt,,,,Media Only,June 2024 - Dec 2024,Survey Sent,Media Creation,No,Nathaniel Myers,XS,XS,,"Michael Lerma, Kevin DeCloedt",,,,ND Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208345374594375,AI Video Series - Ardea,True,2024-09-20T13:10:54.878Z,2024-07-23,2024-09-09,Michael Lerma,Completed / Archived,10,2024-12-02T20:12:34.288000+00:00,2024-12-02T20:12:40.796000+00:00,0,48,Evaluation,Evaluation Sent to Faculty,"Kevin DeCloedt, John Corba",,,,Media Only,June 2024 - Dec 2024,Survey Sent,Media Creation,No,Ardea Russo,XS,XS,,"Kevin DeCloedt, Michael Lerma",,,,ND Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208345374594379,AI Video Series - Alex,True,2024-09-20T13:11:08.324Z,,,Michael Lerma,Completed / Archived,10,2025-02-03T14:28:49.451000+00:00,2025-02-03T14:28:54.884000+00:00,0,,Evaluation,Evaluation Sent to Faculty,Kevin DeCloedt,,,,Media Only,June 2024 - Dec 2024,Survey Sent,Media Creation,No,Alex Ambrose,XS,XS,,"Michael Lerma, Kevin DeCloedt",,,,ND Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208622917750063,ACE Assessment Course Redesign,True,2024-10-25T20:10:40.229Z,2024-11-01,2025-04-30,Michael Lerma,ODL Team,20,2025-02-04T14:42:53.344000+00:00,2025-04-17T20:36:53.034000+00:00,72,180,,In Progress,,,2025-04-30T00:00:00.000Z,1d 9h,Signature Project,June 2024 - Dec 2024,,Course Redesign / Refresh,Yes,"Patrick Kirkland, Sissy Peters, Patricia Salerno",M,,,"Matthew Simmons, Kuangchen Hsu, Michael Lerma",,,,ACE,,Complete,,,,,,,,,,,,,ACE,,,,,,,,,,,,,,,,,
1208659811898209,Ascent PDF Graphic,True,2024-11-01T14:40:45.309Z,2024-11-01,2024-11-06,Michael Lerma,ODL Team,4,2024-11-04T13:58:03.794000+00:00,2024-11-06T21:01:02.955000+00:00,2,5,Launch,Complete!,Colin Gallagher,,2024-11-06T00:00:00.000Z,,Media Only,June 2024 - Dec 2024,No report produced,Media Creation,No,,XS,XS,,Colin Gallagher,,,,ACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208659811898324,ODL Lookbook,True,2024-11-01T14:44:15.675Z,2024-11-01,2024-12-20,Michael Lerma,ODL Team,4,2024-11-15T15:30:13.009000+00:00,2025-05-15T14:43:08.312000+00:00,181,49,,In Progress,"Colin Gallagher, Ted Fox",,2024-12-20T00:00:00.000Z,22h 17m,Media Only,June 2024 - Dec 2024,,Special Project / Internal NDL Project,No,,Unique,,,"Colin Gallagher, Ted Fox",,,,ND Learning,,Complete,,,,,,,,,,,,,ND Learning,,,,,,,,,,,,,,,,,2024-06-01T00:00:00.000Z
1208711008179173,AI Video Series - Karla,True,2024-11-06T21:20:59.814Z,2024-09-06,2024-11-04,Michael Lerma,ODL Team,10,2024-12-02T19:45:30.841000+00:00,2024-12-02T19:47:31.102000+00:00,0,59,Launch,Evaluation Sent to Faculty,,,,,,,No report produced,Media Creation,No,Karla Badillo-Urquiola,XS,XS,,Michael Lerma,,,,ND Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208875960377620,Program for Inclusive Education (PIE) Video #2,True,2024-11-30T22:49:43.243Z,,2025-03-31,Michael Lerma,ODL Team,12,2025-01-10T18:56:03.992000+00:00,2025-02-06T19:23:48.006000+00:00,27,,,,,,,,,,,Media Creation,Yes,,XS,XS,,,,,,ACE,,Complete,,,,,,,,,,,,,ACE,,,,,,,,,,,,,,,,,
1208878713359035,Calc I Summer Online,True,2024-12-02T13:21:54.071Z,,2025-05-30,Michael Lerma,ODL Team,85,2025-01-19T20:18:35.105000+00:00,2025-07-09T15:57:56.759000+00:00,171,,,,,,,15h 50m,,,,New Course Design,Yes,Brian Mulholland,M,,,"Yi Lu, Lawrence Greenspun, Matthew Simmons",,,,Math,,Complete,,,,,,,,,,,,,Math,,,,,,,,,,,,,,,,,
1208878713359040,3D Environments Summer Online,True,2024-12-02T13:22:28.994Z,2025-09-08,2025-09-08,Lawrence Greenspun,ODL Team,106,2025-01-19T20:10:16.883000+00:00,2026-01-02T20:00:24.156000+00:00,348,0,,,,,,1d 8h,,,,New Course Design,Yes,John Slaughter,M,,,"Yi Lu, Lawrence Greenspun",,,,CSE,,Complete,,,,,,,,,,,,,CSE,,,,,,,,,,,,,,,,,
1208981515547171,Radio Systems MVP,True,2024-12-17T20:07:40.651Z,2024-12-17,2025-04-01,Lawrence Greenspun,ODL Team,30,2025-02-04T13:37:34.833000+00:00,2025-03-14T15:15:25.689000+00:00,38,105,,,,,,,,,,Media Creation,No,Nick Laneman,M,,,,,,,Engineering,,In Progress,,,,,,,,,,,,,Engineering,,,,,,,,,,,,,,,,,
1209103283248376,Duplicate of Lawrence Time and Capacity Tracking Part 2,True,2025-01-10T20:41:58.809Z,,,Lawrence Greenspun,Project Managment Team,16,2025-02-23T18:55:17.204000+00:00,2025-02-23T18:57:52.148000+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
